2023-07-01;C6;;Saldo Anterior;124.11
2023-07-01;Itaú;;Saldo Anterior;983.76
2023-07-01;Bradesco;;Saldo Anterior;19613.34
2023-07-10;Itaú;;Fatura C6;0.00
2023-07-19; Sodexo;Supermercado;BENEFICIO;626.78
2023-07-01; Sodexo;Supermercado;SALDO ANTERIOR;648.12
2023-07-02;Itaú;Diversão;PIX QRS MUNICIPIO D02/07 (festival tainha);-20.00
2023-07-02;Itaú;Rendimento;REND PAGO APLIC AUT APR ;1.72
2023-07-02;Itaú;Diversão;PIX QRS EUNICE LEAN02/07 (almoço taínha);-85.00
2023-07-04;Itaú;Transferência;Aluguel;2000.00
2023-07-05;Itaú;Casa;Aluguel;-2237.00
2023-01-31;C6 Cartão;Casa;BOURBON IPIRANGA - Parcela 5/5 ;-33.32
2023-02-24;C6 Cartão;Pessoal;DECATHLON PRAIA DE BEL - Parcela 5/6 ;-108.90
2023-03-03;C6 Cartão;Casa;LEROY MERLIN - Parcela 4/5 ;-113.81
2023-04-14;C6 Cartão;Casa;BOURBON IPIRANGA - Parcela 3/5 ;-40.62
2023-04-20;C6 Cartão;Casa;BOURBON COUNTRY - Parcela 3/5 ;-59.88
2023-06-01;C6 Cartão;Pessoal;AMAZON AWS SERVICOS BR ;-2.46
2023-06-01;C6 Cartão;Pessoal;PRAIA DE BELAS - Parcela 1/3 ;-73.33
2023-06-01;C6 Cartão;Pessoal;PAG RENNER - Parcela 1/3 ;-199.88
2023-06-01;C6 Cartão;Pessoal;DECATHLON PRAIA DE BEL - Parcela 1/10 ;-103.03
2023-06-22;C6 Cartão;Transporte;UBER UBER TRIP ;-14.91
2023-06-22;C6 Cartão;Transporte;UBER UBER TRIP ;-17.93
2023-06-24;C6 Cartão;Transporte;UBER UBER TRIP ;-8.90
2023-06-24;C6 Cartão;Transporte;UBER UBER TRIP ;-9.93
2023-06-26;C6 Cartão;Transporte;UBER UBER TRIP ;-16.91
2023-06-26;C6 Cartão;Transporte;UBER UBER TRIP ;-12.95
2023-09-24;C6 Cartão;Pessoal;IPLACE COM - Parcela 10/10 ;-36.55
2023-06-01;C6 Cartão;Pessoal;DM SPOTIFY ;-19.90
2023-06-09;C6 Cartão;Pessoal;NETFLIX COM ;-18.90
2023-06-24;C6 Cartão;Pessoal;AMAZON KINDLE UNLTD ;-19.90
2023-06-26;C6 Cartão;Casa;AMERICANAS FRIGELAR - Parcela 1/3 ;-65.71
2023-06-28;C6 Cartão;Educação;FUNARBE EVENTOS ;-175.00
2023-07-01; Sodexo;Supermercado;Zaffari;-160.50
2023-07-10;Sum's Club;Carro;Seguro carro 1/6;-674.20
2023-07-06; Sodexo;Supermercado;zaffari;-201.42
2023-07-08; Sodexo;Supermercado;zaffari;-142.60
2023-07-02;Bradesco;Rendimento;Poup Facil-depos a Partir 4/5/12;10.37
2023-07-02;Bradesco;Alimentação;Beck e Brage Ltda;-24.58
2023-07-02;Bradesco;Alimentação;Berlinf*restaurante;-30.00
2023-07-02;Bradesco;Alimentação;2s Cafe Ltda;-6.00
2023-07-03;Bradesco;Pessoal;Gremio Nautico Gauch;-75.00
2023-07-03;Bradesco;Carro;Posto Ipiranga;-289.67
2023-07-03;Bradesco;Transferência;Des: 600.038.802-06 04/07;-2000.00
2023-07-04;Bradesco;Outros;Pag*guilhermedihlfer;-62.58
2023-07-04;Bradesco;Pessoal;Nino Jose Canani (Cartorio);-222.01
2023-07-05;Bradesco;Alimentação;Mp*galeteriadp;-96.47
2023-07-06;Bradesco;Educação;Des: 826.859.085-87 07/07 (Pauline);-520.00
2023-07-06;Bradesco;Educação;Des: 425.801.700-06 07/07 (Gambona);-250.00
2023-07-06;Bradesco;Saúde;Des: 008.004.890-04 07/07 (Vicente);-760.00
2023-07-06;Bradesco;Saúde;Des: 607.407.870-04 07/07 (Stefan);-330.00
2023-07-09;Bradesco;Outros;Rem: 006.207.780-59 09/07 (Rita);60.00
2023-07-09;Bradesco;;c6;-1152.72
2023-07-09;Bradesco;;Sumsclub;-674.20
2023-07-09;Bradesco;Casa;Net Servicos-0787192835189;-82.16
2023-07-09;Bradesco;Saúde;rs Farma fl 03;-25.81
2023-07-09;Bradesco;Casa;Ferragem Thony Ltda;-32.40
2023-07-09;Bradesco;Alimentação;Novotel Porto Ale;-39.90
2023-07-10;Bradesco;Alimentação;Pag*mariaeduardanune (Padaria);-9.50
2023-07-10;Bradesco;Casa;Vivo Movel-rs-13346783900;-63.74
2023-07-31;Bradesco;Salário;Salário 2;4500.00
2023-07-24;Itaú;Carro;Garagem;-240.00
2023-07-12;Bradesco;Diversão;Novotel Porto Ale;-39.90
2023-07-13;Bradesco;Salário;Remet.alexandre Ferreira e (salario 1);4800.00
2023-07-13;Bradesco;Diversão;Beck e Brage Ltda;-16.69
2023-07-16;Bradesco;Rendimento;Poup Facil-depos a Partir 4/5/12;65.91
2023-07-16;Bradesco;Diversão;Rem: 006.207.780-59 15/07 (Rita);75.00
2023-07-16;Bradesco;Diversão;Mp*galeteriadp;-151.47
2023-07-16;Bradesco;Diversão;Boteko Republica;-87.00
2023-07-16;Bradesco;Supermercado;Zaffari Mno Deus;-93.39
2023-07-16;Bradesco;Casa;Pag*casamaria;-46.59
2023-07-17;Bradesco;Diversão;Boteko Republica;-52.00
2023-07-18;Bradesco;Rendimento;Poup Facil-depos a Partir 4/5/12;1.25
2023-07-19;Bradesco;Alimentação;Ponto Gaucho Restaur;-28.00
2023-07-19;Bradesco;Diversão;Pag*leveduracervejas;-99.70
2023-07-20;Bradesco;Alimentação;Pag*mariaeduardanune (padaria);-50.81
2023-07-20;Bradesco;Diversão;Casa do Norte e Nord;-109.80
2023-07-23;Bradesco;Diversão;Pag*veteranabeertruc;-23.00
2023-07-23;Bradesco;Alimentação;Ponto Gaucho Restaur;-34.00
2023-07-23;Bradesco;Diversão;Pag*veteranabeertruc;-15.00
2023-07-23;Bradesco;Diversão;Pag*caispontalbare;-25.85
2023-07-23;Bradesco;Diversão;Pag*veteranabeertruc;-30.00
2023-07-14; Sodexo;Supermercado;Zaffari;-123.46
