2023-06-01;Bradesco;;Saldo Anterior;10316.93
2023-06-04;Bradesco;Carro;Auto Posto br 116 lt;-243.83
2023-06-04;Bradesco;Supermercado;Mp*nucleoivoti;-80.00
2023-06-04;Bradesco;Supermercado;Pag*anastaciaetges;-8.00
2023-06-04;Bradesco;Supermercado;Pag*luisrogeriojunge;-165.00
2023-06-04;Bradesco;Supermercado;Laticinios Nova a;-16.27
2023-06-04;Bradesco;Diversão;Cavanhas 373;-48.00
2023-06-05;Bradesco;Alimentação;Ponto Gaucho Restaur;-28.00
2023-06-08;Bradesco;Diversão;Rem: Rita de Cassia Glaese 09/06;422.63
2023-06-08;Bradesco;Diversão;Pastel Com Borda;-47.00
2023-06-08;Bradesco;Saúde;Pag*panvelfilial151;-33.35
2023-06-08;Bradesco;Saúde;Des: Vicente Coda 08/06;-680.00
2023-06-08;Bradesco;Saúde;Des: Stefan Cardon 08/06;-330.00
2023-06-08;Bradesco;Educação;Des: Eduardo da Silva Quin 08/06;-250.00
2023-06-08;Bradesco;Educação;Des: Pauline Simao de Carv 08/06;-520.00
2023-06-11;Bradesco;Casa;Net Servicos-0787192835189;-79.90
2023-06-11;Bradesco;Casa;Tumelero 57 4;-127.20
2023-06-11;Bradesco;Casa;Lojas Americanas;-43.95
2023-06-11;Bradesco;Diversão;Boteko Republica;-117.00
2023-06-11;Bradesco;Casa;Vivo Movel-rs-13346783900;-62.00
2023-06-15;Bradesco;Salário;Salário 1;4300.00
2023-06-30;Bradesco;Salário;Salário 2;4000.00
2023-06-01;C6;;Saldo Anterior;124.11
2023-01-31;C6 Cartão;Casa;BOURBON IPIRANGA - Parcela 4/5 ;-33.32
2023-02-24;C6 Cartão;Pessoal;DECATHLON PRAIA DE BEL - Parcela 4/6 ;-108.90
2023-03-03;C6 Cartão;Casa;LEROY MERLIN - Parcela 3/5 ;-113.81
2023-04-14;C6 Cartão;Casa;BOURBON IPIRANGA - Parcela 2/5 ;-40.62
2023-04-20;C6 Cartão;Casa;BOURBON COUNTRY - Parcela 2/5 ;-59.88
2023-04-27;C6 Cartão;Outros;MARILIA SOTTILI ;-20.00
2023-05-01;C6 Cartão;Casa;AMAZON AWS SERVICOS BR ;-2.48
2023-05-12;C6 Cartão;Outros;PAG ELAINEMARIABARTH ;-30.00
2023-09-24;C6 Cartão;Pessoal;IPLACE COM - Parcela 9/10 ;-36.55
2023-03-27;C6 Cartão;Casa;MERCPAGO DAMARIA2 - Parcela 3/3 ;-35.33
2023-05-01;C6 Cartão;Pessoal;DM SPOTIFY ;-19.90
2023-05-02;C6 Cartão;Educação;AMAZON KINDLE UNLTD ;-19.90
2023-06-01;Itaú;;Saldo Anterior;4091.94
2023-06-10;Itaú;;Fatura C6;-520.69
2023-06-08;Itaú;;INT PAG TIT BANCO 368 SUMSCLUB;-110.96
2023-06-05;Itaú;Casa;ALUGUEL;-2237.00
2023-06-05;Itaú;Casa;VIVIO MAIO;-62.00
2023-06-05;Itaú;Casa;MESINHAS;-150.00
2023-06-05;Itaú;Diversão;CHURRASCO LAIS (CIBELE);-30.79
2023-06-08;Itaú;Rendimento;RENDIMENTO;4.80
2023-06-25;Sum's Club;Supermercado;SAMS CLUB PORTO AL - 3/3 110,96;-110.96
2023-06-19; Sodexo;Supermercado;BENEFICIO;626.78
2023-06-08; Sodexo;Supermercado;ZAFFARI;-231.26
2023-06-03; Sodexo;Supermercado;ZAFFARI;-229.51
2023-06-01; Sodexo;Supermercado;SALDO ANTERIOR;933.60
2023-06-11; Sodexo;Supermercado;Zaffari;-158.60
